Iphone12,Iphone12Pro,Iphone13,Iphone13Pro,Iphone14,Iphone14Pro,
280,399,421,572,589,766,
280,389,421,572,568,766,
280,404,421,570,599,788,
280,402,421,574,589,794,
292,399,425,559,589,789,
292,397,421,559,579,794,
289,400,421,560,584,765,
289,399,406,549,576,765,
289,398,421,549,602,765,
292,399,421,543,579,765,
292,395,418,524,599,799,
284,395,419,524,599,795,
289,398,419,558,574,794,
296,386,419,555,599,794,
310,410,421,556,600,820,
309,392,424,560,602,779,
289,389,429,559,602,791,
290,373,424,550,588,785,
290,380,426,556,588,793,
290,380,425,560,599,792,
300,393,444,550,598,798,
304,389,443,543,579,781,
291,378,443,545,540,794,
291,374,431,541,571,795,
286,372,416,536,562,756,
288,372,443,535,587,756,
288,372,440,535,587,794,
296,373,437,506,591,757,
292,374,421,528,574,780,
286,375,420,545,601,779,
283,395,427,541,581,779,
279,390,412,496,574,809,
285,397,412,539,574,799,
287,400,428,539,599,799,
287,396,406,539,589,799,
288,390,417,539,535,796,
289,375,417,538,594,797,
290,391,419,540,586,782,
